fast_decay,lambda,variant,seed,pre,final_ppl,gain40,drop,w_fast_norm,abs_mean,abs_std,abs_max,cv,top1pct_mass,top5pct_mass,top10pct_mass,normalized_entropy,gini,hhi,ts_cos_stage1,ts_cos_stage2,ts_horizon,horizon_steps,horizon_censored,cos_lag1
0.02,1.0,shufwrite,1,44.88600903722168,39.709897005349404,0.11531682461632961,5.176112031872279,30.2353572845459,0.0019501041388139129,0.0019913609139621258,0.01068115234375,1.0211561918258667,0.04863513633608818,0.20848584175109863,0.3523969352245331,0.9767071008682251,0.5055652856826782,1.643167202303175e-08,0.7203956246376038,0.8779223561286926,1.5492789086360539,60.0,True,0.949609375
0.02,1.0,shufwrite,2,57.481470879611656,53.919596962865256,0.061965601475409984,3.5618739167464,30.046798706054688,0.0019451365806162357,0.0019730201456695795,0.0106201171875,1.014335036277771,0.048522986471652985,0.2073407769203186,0.3501010239124298,0.9769536256790161,0.5030626058578491,1.63199853631113e-08,0.7196152210235596,0.8715288639068604,1.5477372364709334,60.0,True,0.9498046875
0.02,1.0,shufwrite,3,71.25209805481356,47.97091067134534,0.3267438857106808,23.28118738346822,29.9719181060791,0.0019359529251232743,0.0019732266664505005,0.01055908203125,1.0192534923553467,0.04850749671459198,0.20818082988262177,0.35180726647377014,0.9767723083496094,0.504905104637146,1.6400440117081416e-08,0.7189164757728577,0.8779771327972412,1.5498031478649386,60.0,True,0.95078125
0.02,1.05,direct,0,73.55161915065823,48.80703315277156,0.336424762413476,24.744585997886666,33.5654182434082,0.0021869533229619265,0.002235652646049857,0.0115966796875,1.0222680568695068,0.04747770354151726,0.2058427482843399,0.35283583402633667,0.9765602350234985,0.5078170299530029,1.6449941853124983e-08,0.7030590176582336,0.8757652640342712,1.5546945750640775,60.0,True,0.95126953125
0.02,1.05,direct,1,52.89850863908216,40.5389594910336,0.23364645745262372,12.359549148048558,33.42624282836914,0.002174478955566883,0.0022202434483915567,0.0115966796875,1.0210461616516113,0.04782413691282272,0.20686078071594238,0.3526317775249481,0.9766618013381958,0.5064548254013062,1.6429863691769242e-08,0.7000464200973511,0.875680685043335,1.555731180980828,60.0,True,0.94951171875
0.02,1.05,direct,2,66.57283864078282,53.434022881994764,0.19736000487651068,13.138815758788056,33.2741584777832,0.0021681650541722775,0.0022005594801157713,0.0115966796875,1.0149409770965576,0.047582268714904785,0.20542021095752716,0.3505345582962036,0.976860523223877,0.5045861005783081,1.632987789434992e-08,0.6993190050125122,0.8687809705734253,1.5540341713536447,60.0,True,0.95009765625
0.02,1.05,direct,3,78.45869534451461,48.03996068381693,0.38770380423900824,30.41873466069768,33.157379150390625,0.0021570080425590277,0.0021927126217633486,0.01153564453125,1.0165528059005737,0.04772912338376045,0.20590569078922272,0.3510509133338928,0.9768104553222656,0.50502610206604,1.6356215937207708e-08,0.6956208944320679,0.8735997676849365,1.5567093199667537,60.0,True,0.95126953125
0.02,1.05,nocons,0,65.66434778939703,47.72877305712555,0.2731402250395545,17.935574732271476,33.0423698425293,0.002136852825060487,0.002192420419305563,0.0115966796875,1.026004433631897,0.048327941447496414,0.20842428505420685,0.3542982339859009,0.9765206575393677,0.5076403617858887,1.6511505052108078e-08,0.7320796847343445,0.8866214156150818,1.5477363396019737,60.0,True,0.95478515625
0.02,1.05,nocons,1,45.703373123216224,39.83761127224089,0.12834417790479594,5.865761850975332,32.771297454833984,0.0021148785017430782,0.0021671459544450045,0.01153564453125,1.0247141122817993,0.048646166920661926,0.20908795297145844,0.3536564111709595,0.9765905737876892,0.5067329406738281,1.6490222520815223e-08,0.7281470894813538,0.8852468729019165,1.5486861197833226,60.0,True,0.95302734375
0.02,1.05,nocons,2,58.58031322322106,53.65639013030964,0.08405422951817872,4.923923092911423,32.61526107788086,0.0021083264146000147,0.0021471723448485136,0.01165771484375,1.0184249877929688,0.04861820116639137,0.20808802545070648,0.35151734948158264,0.9768242835998535,0.5043566226959229,1.638686164540104e-08,0.7276734709739685,0.8796104788780212,1.5472651418929568,60.0,True,0.95322265625
